,Start,End,Start_seconds,Start_samples,End_seconds,End_samples
677,0:34:28.00,0:34:32.75,2068.0,91198800,2072.75,91408275
679,0:34:37.20,0:34:44.95,2077.2,91604519,2084.95,91946294
687,0:35:08.45,0:35:17.55,2108.45,92982644,2117.55,93383955
690,0:35:19.25,0:35:29.90,2119.25,93458925,2129.9,93928590
694,0:35:32.70,0:35:34.20,2132.7,94052069,2134.2,94118219
697,0:35:44.50,0:36:00.50,2144.5,94572450,2160.5,95278050
701,0:36:03.05,0:36:04.10,2163.05,95390505,2164.1,95436810
704,0:36:13.15,0:36:17.15,2173.15,95835915,2177.15,96012315
706,0:36:21.60,0:36:33.75,2181.6,96208560,2193.75,96744375
710,0:36:36.95,0:36:48.05,2196.95,96885494,2208.05,97375005
713,0:36:49.80,0:36:54.80,2209.8,97452180,2214.8,97672680
716,0:36:58.85,0:37:00.75,2218.85,97851285,2220.75,97935075
718,0:37:03.35,0:37:08.70,2223.35,98049735,2228.7,98285669
721,0:37:13.45,0:37:22.25,2233.45,98495144,2242.25,98883225
725,0:37:24.25,0:37:46.45,2244.25,98971425,2266.45,99950444
731,0:37:48.05,0:37:51.40,2268.05,100021005,2271.4,100168740
733,0:37:52.40,0:37:53.00,2272.4,100212840,2273.0,100239300
735,0:37:54.60,0:37:57.15,2274.6,100309860,2277.15,100422315
747,0:38:34.50,0:38:36.25,2314.5,102069450,2316.25,102146625
749,0:38:38.95,0:38:41.50,2318.95,102265694,2321.5,102378150
751,0:38:43.85,0:39:23.55,2323.85,102481785,2363.55,104232555
760,0:39:25.30,0:39:45.10,2365.3,104309730,2385.1,105182910
765,0:39:46.90,0:39:48.95,2386.9,105262290,2388.95,105352694
767,0:39:52.15,0:39:53.95,2392.15,105493815,2393.95,105573194
769,0:39:57.85,0:40:04.15,2397.85,105745185,2404.15,106023015
773,0:40:09.70,0:40:24.45,2409.7,106267769,2424.45,106918244
778,0:40:29.65,0:40:32.50,2429.65,107147565,2432.5,107273250
780,0:40:33.20,0:40:35.15,2433.2,107304119,2435.15,107390115
782,0:40:39.65,0:40:45.00,2439.65,107588565,2445.0,107824500
785,0:40:49.55,0:40:52.25,2449.55,108025155,2452.25,108144225
787,0:40:58.40,0:41:04.65,2458.4,108415440,2464.65,108691065
789,0:41:07.05,0:41:12.35,2467.05,108796905,2472.35,109030635
791,0:41:12.35,0:41:16.05,2472.35,109030635,2476.05,109193805
796,0:41:32.55,0:41:45.65,2492.55,109921455,2505.65,110499165
800,0:41:47.05,0:41:53.45,2507.05,110560905,2513.45,110843144
804,0:42:02.35,0:42:04.35,2522.35,111235635,2524.35,111323835
806,0:42:05.40,0:42:12.35,2525.4,111370140,2532.35,111676635
809,0:42:14.40,0:42:27.35,2534.4,111767040,2547.35,112338135
814,0:42:33.75,0:42:44.15,2553.75,112620375,2564.15,113079015
819,0:42:49.30,0:42:53.15,2569.3,113306130,2573.15,113475915
821,0:42:55.40,0:42:57.60,2575.4,113575140,2577.6,113672160
823,0:43:02.10,0:43:11.70,2582.1,113870610,2591.7,114293969
827,0:43:14.40,0:43:19.65,2594.4,114413040,2599.65,114644565
831,0:43:27.55,0:43:34.35,2607.55,114992955,2614.35,115292835
833,0:43:36.80,0:43:40.70,2616.8,115400880,2620.7,115572869
835,0:43:48.00,0:43:59.45,2628.0,115894800,2639.45,116399744
842,0:44:18.95,0:44:21.65,2658.95,117259694,2661.65,117378765
844,0:44:26.40,0:44:35.05,2666.4,117588240,2675.05,117969705
847,0:44:41.90,0:44:45.70,2681.9,118271790,2685.7,118439369
850,0:44:53.00,0:44:54.25,2693.0,118761300,2694.25,118816425
852,0:44:58.75,0:45:13.40,2698.75,119014875,2713.4,119660940
855,0:45:16.95,0:45:24.85,2716.95,119817494,2724.85,120165885
857,0:45:28.55,0:45:32.45,2728.55,120329055,2732.45,120501044
